code,name,prov_code,city_code,county_code,prov_name,city_name,county_name,level,is_prov,is_city,is_county,longitude,latitude
110000,北京市,110000,110000,110000,北京市,北京市,北京市,省级,1,0,0,116.395645,39.929986
110100,北京市市辖区,110000,110100,110100,北京市,北京市市辖区,北京市市辖区,市级,0,1,0,116.395645,39.929986
110101,北京市东城区,110000,110100,110101,北京市,北京市市辖区,北京市东城区,县级,0,0,1,116.421885,39.938574
110102,北京市西城区,110000,110100,110102,北京市,北京市市辖区,北京市西城区,县级,0,0,1,116.37319,39.93428
110103,北京市崇文区,110000,110100,110103,北京市,北京市市辖区,北京市崇文区,县级,0,0,1,116.424636,39.889292
110104,北京市宣武区,110000,110100,110104,北京市,北京市市辖区,北京市宣武区,县级,0,0,1,116.369352,39.891531
110105,北京市朝阳区,110000,110100,110105,北京市,北京市市辖区,北京市朝阳区,县级,0,0,1,116.521695,39.958953
110106,北京市丰台区,110000,110100,110106,北京市,北京市市辖区,北京市丰台区,县级,0,0,1,116.25837,39.841938
110107,北京市石景山区,110000,110100,110107,北京市,北京市市辖区,北京市石景山区,县级,0,0,1,116.184556,39.938867
110108,北京市海淀区,110000,110100,110108,北京市,北京市市辖区,北京市海淀区,县级,0,0,1,116.239678,40.033162
110109,北京市门头沟区,110000,110100,110109,北京市,北京市市辖区,北京市门头沟区,县级,0,0,1,115.795795,40.000893
110111,北京市房山区,110000,110100,110111,北京市,北京市市辖区,北京市房山区,县级,0,0,1,115.862836,39.726753
110112,北京市通州区,110000,110100,110112,北京市,北京市市辖区,北京市通州区,县级,0,0,1,116.740079,39.809815
110113,北京市顺义区,110000,110100,110113,北京市,北京市市辖区,北京市顺义区,县级,0,0,1,116.728229,40.154951
110200,北京市县,110000,110200,110200,北京市,北京市县,北京市县,市级,0,1,0,116.395645,39.929986
110221,北京市昌平县,110000,110200,110221,北京市,北京市县,北京市昌平县,县级,0,0,1,,
110224,北京市大兴县,110000,110200,110224,北京市,北京市县,北京市大兴县,县级,0,0,1,,
110226,北京市平谷县,110000,110200,110226,北京市,北京市县,北京市平谷县,县级,0,0,1,,
110227,北京市怀柔县,110000,110200,110227,北京市,北京市县,北京市怀柔县,县级,0,0,1,,
110228,北京市密云县,110000,110200,110228,北京市,北京市县,北京市密云县,县级,0,0,1,117.001201,40.532843
110229,北京市延庆县,110000,110200,110229,北京市,北京市县,北京市延庆县,县级,0,0,1,116.169735,40.545156
120000,天津市,120000,120000,120000,天津市,天津市,天津市,省级,1,0,0,117.210813,39.14393
120100,天津市市辖区,120000,120100,120100,天津市,天津市市辖区,天津市市辖区,市级,0,1,0,117.210813,39.14393
120101,天津市和平区,120000,120100,120101,天津市,天津市市辖区,天津市和平区,县级,0,0,1,117.202814,39.124809
120102,天津市河东区,120000,120100,120102,天津市,天津市市辖区,天津市河东区,县级,0,0,1,117.261693,39.126626
120103,天津市河西区,120000,120100,120103,天津市,天津市市辖区,天津市河西区,县级,0,0,1,117.236165,39.084494
120104,天津市南开区,120000,120100,120104,天津市,天津市市辖区,天津市南开区,县级,0,0,1,117.162728,39.116987
120105,天津市河北区,120000,120100,120105,天津市,天津市市辖区,天津市河北区,县级,0,0,1,117.220297,39.173149
120106,天津市红桥区,120000,120100,120106,天津市,天津市市辖区,天津市红桥区,县级,0,0,1,117.162217,39.170621
120107,天津市塘沽区,120000,120100,120107,天津市,天津市市辖区,天津市塘沽区,县级,0,0,1,117.649081,39.007936
120108,天津市汉沽区,120000,120100,120108,天津市,天津市市辖区,天津市汉沽区,县级,0,0,1,117.87353,39.247773
120109,天津市大港区,120000,120100,120109,天津市,天津市市辖区,天津市大港区,县级,0,0,1,117.380794,38.729573
120110,天津市东丽区,120000,120100,120110,天津市,天津市市辖区,天津市东丽区,县级,0,0,1,117.414782,39.139605
120111,天津市西青区,120000,120100,120111,天津市,天津市市辖区,天津市西青区,县级,0,0,1,117.126201,39.035065
120112,天津市津南区,120000,120100,120112,天津市,天津市市辖区,天津市津南区,县级,0,0,1,117.39291,38.969791
120113,天津市北辰区,120000,120100,120113,天津市,天津市市辖区,天津市北辰区,县级,0,0,1,117.180606,39.259131
120200,天津市县,120000,120200,120200,天津市,天津市县,天津市县,市级,0,1,0,117.210813,39.14393
120221,天津市宁河县,120000,120200,120221,天津市,天津市县,天津市宁河县,县级,0,0,1,117.689424,39.381561
120222,天津市武清县,120000,120200,120222,天津市,天津市县,天津市武清县,县级,0,0,1,,
120223,天津市静海县,120000,120200,120223,天津市,天津市县,天津市静海县,县级,0,0,1,116.972772,38.861262
120224,天津市宝坻县,120000,120200,120224,天津市,天津市县,天津市宝坻县,县级,0,0,1,,
120225,天津市蓟县,120000,120200,120225,天津市,天津市县,天津市蓟县,县级,0,0,1,117.441159,40.009614
130000,河北省,130000,130000,130000,河北省,河北省,河北省,省级,1,0,0,115.661434,38.61384
130100,河北省石家庄市,130000,130100,130100,河北省,河北省石家庄市,河北省石家庄市,市级,0,1,0,114.522082,38.048958
130101,河北省石家庄市市辖区,130000,130100,130101,河北省,河北省石家庄市,河北省石家庄市市辖区,县级,0,0,1,114.522082,38.048958
130102,河北省石家庄市长安区,130000,130100,130102,河北省,河北省石家庄市,河北省石家庄市长安区,县级,0,0,1,114.592622,38.076875
130103,河北省石家庄市桥东区,130000,130100,130103,河北省,河北省石家庄市,河北省石家庄市桥东区,县级,0,0,1,114.510784,38.06339
130104,河北省石家庄市桥西区,130000,130100,130104,河北省,河北省石家庄市,河北省石家庄市桥西区,县级,0,0,1,114.43814,38.033365
130105,河北省石家庄市新华区,130000,130100,130105,河北省,河北省石家庄市,河北省石家庄市新华区,县级,0,0,1,114.453501,38.117219
130106,河北省石家庄市郊区,130000,130100,130106,河北省,河北省石家庄市,河北省石家庄市郊区,县级,0,0,1,,
130107,河北省石家庄市井陉矿区,130000,130100,130107,河北省,河北省石家庄市,河北省石家庄市井陉矿区,县级,0,0,1,114.050744,38.081098
130121,河北省石家庄市井陉县,130000,130100,130121,河北省,河北省石家庄市,河北省石家庄市井陉县,县级,0,0,1,114.077952,38.000891
130123,河北省石家庄市正定县,130000,130100,130123,河北省,河北省石家庄市,河北省石家庄市正定县,县级,0,0,1,114.570201,38.227073
130124,河北省石家庄市栾城县,130000,130100,130124,河北省,河北省石家庄市,河北省石家庄市栾城县,县级,0,0,1,114.632968,37.906161
130125,河北省石家庄市行唐县,130000,130100,130125,河北省,河北省石家庄市,河北省石家庄市行唐县,县级,0,0,1,114.457436,38.546695
130126,河北省石家庄市灵寿县,130000,130100,130126,河北省,河北省石家庄市,河北省石家庄市灵寿县,县级,0,0,1,114.187819,38.510936
130127,河北省石家庄市高邑县,130000,130100,130127,河北省,河北省石家庄市,河北省石家庄市高邑县,县级,0,0,1,114.607385,37.622651
